delivery_year,Submarket,leaseup_time,effective_rent_delivery,effective_rent_leaseup,effective_rent_growth,negative_growth,umap_cluster,property_age,large_project_flag
2018,Far South Austin,1.0,1314.0,1204.0,-110.0,True,3,0,1
2017,San Marcos,1.0,1201.0,1101.0,-100.0,True,2,-1,1
2010,Southwest Austin,,1108.0,,,False,1,0,0
2016,Downtown/University,0.0,2298.0,2140.0,-158.0,True,0,0,1
2019,San Marcos,,1273.0,,,False,1,-1,0
2019,Downtown/University,,2659.0,,,False,3,0,1
2012,Far South Austin,,1075.0,,,False,2,-1,1
2016,Downtown/University,1.0,1825.0,1689.0,-136.0,True,3,0,1
2019,Southeast Austin,0.0,1373.0,1276.0,-97.0,True,2,-1,1
2019,Southwest Austin,0.0,1661.0,1454.0,-207.0,True,2,-1,1
2017,North Central Austin,0.0,1651.0,1523.0,-128.0,True,2,-1,1
2015,Round Rock/Georgetown,23.0,1109.0,1048.0,-61.0,True,0,0,1
2009,Far South Austin,0.0,1054.0,878.0,-176.0,True,3,0,1
2019,Southwest Austin,,1452.0,,,False,1,0,0
2015,Pflugerville/Wells Branch,1.0,1262.0,1160.0,-102.0,True,0,0,1
2014,Near North Austin,0.0,1663.0,1455.0,-208.0,True,2,-1,1
2008,East Austin,3.0,943.0,825.0,-118.0,True,0,0,1
2014,South Austin,1.0,2258.0,2070.0,-188.0,True,2,-1,1
2013,Northwest Austin,,1082.0,,,False,2,-1,1
2008,Cedar Park,0.0,930.0,817.0,-113.0,True,3,0,1
2010,San Marcos,0.0,980.0,789.0,-191.0,True,0,0,1
2009,Pflugerville/Wells Branch,5.0,849.0,840.0,-9.0,True,0,0,1
2014,Riverside,1.0,1695.0,1558.0,-137.0,True,1,0,0
2013,Downtown/University,13.0,2560.0,2504.0,-56.0,True,3,0,1
2010,Riverside,0.0,1381.0,1266.0,-115.0,True,3,0,1
2015,Cedar Park,15.0,1188.0,1147.0,-41.0,True,2,-1,1
2020,North Central Austin,,1805.0,,,False,3,0,1
2010,North Central Austin,1.0,1266.0,1078.0,-188.0,True,3,0,1
2009,Near North Austin,0.0,1429.0,1191.0,-238.0,True,3,0,1
2015,Northwest Austin,42.0,1244.0,1268.0,24.0,False,2,-1,1
2013,North Central Austin,,1362.0,,,False,0,0,1
2016,Cedar Park,0.0,1436.0,1326.0,-110.0,True,2,-1,1
2020,Near North Austin,0.0,1845.0,1633.0,-212.0,True,3,0,1
2018,North Central Austin,0.0,1708.0,1565.0,-143.0,True,2,-1,1
2016,Far South Austin,0.0,1613.0,1479.0,-134.0,True,3,0,1
2015,South Austin,0.0,2575.0,2399.0,-176.0,True,3,0,1
2014,Southeast Austin,36.0,1231.0,1109.0,-122.0,True,3,0,1
2008,Downtown/University,2.0,2479.0,2083.0,-396.0,True,3,0,1
2015,Round Rock/Georgetown,,1123.0,,,False,3,0,1
2020,Cedar Park,0.0,1572.0,1441.0,-131.0,True,3,0,1
2009,Downtown/University,0.0,1864.0,1720.0,-144.0,True,1,-1,0
2014,Far South Austin,6.0,1309.0,1197.0,-112.0,True,1,0,0
2019,Northwest Austin,0.0,1655.0,1537.0,-118.0,True,2,-1,1
2015,North Central Austin,0.0,1524.0,1404.0,-120.0,True,3,0,1
2019,Pflugerville/Wells Branch,,1255.0,,,False,2,-1,1
2014,South Austin,1.0,2157.0,1980.0,-177.0,True,2,-1,1
2015,Far South Austin,7.0,1232.0,1076.0,-156.0,True,2,-1,1
2008,Southeast Austin,0.0,1027.0,893.0,-134.0,True,3,0,1
2013,Cedar Park,,1072.0,,,False,3,0,1
2012,Southwest Austin,64.0,1167.0,1134.0,-33.0,True,3,0,1
2016,Cedar Park,1.0,1266.0,1275.0,9.0,False,1,-1,0
2008,Southwest Austin,0.0,1149.0,1053.0,-96.0,True,3,0,1
2018,San Marcos,0.0,1289.0,1181.0,-108.0,True,1,0,0
2012,South Austin,3.0,1819.0,1700.0,-119.0,True,0,0,1
2013,Riverside,3.0,1658.0,1576.0,-82.0,True,2,-1,1
2015,Southeast Austin,1.0,1350.0,1230.0,-120.0,True,2,-1,1
2017,Southeast Austin,5.0,1141.0,1053.0,-88.0,True,2,-1,1
2009,Round Rock/Georgetown,0.0,925.0,797.0,-128.0,True,3,0,1
2019,Round Rock/Georgetown,0.0,1346.0,1234.0,-112.0,True,2,-1,1
2013,East Austin,4.0,1752.0,1600.0,-152.0,True,2,-1,1
2012,North Central Austin,43.0,1003.0,1065.0,62.0,False,0,0,1
2015,Downtown/University,0.0,2926.0,2682.0,-244.0,True,3,0,1
2013,Cedar Park,,1100.0,,,False,2,-1,1
2019,Round Rock/Georgetown,0.0,1424.0,1306.0,-118.0,True,2,-1,1
2013,Riverside,7.0,2448.0,2322.0,-126.0,True,0,0,1
2009,Far South Austin,0.0,1188.0,990.0,-198.0,True,3,0,1
2017,Round Rock/Georgetown,1.0,1341.0,1229.0,-112.0,True,2,-1,1
2017,Round Rock/Georgetown,5.0,1348.0,1246.0,-102.0,True,2,-1,1
2013,North Central Austin,,975.0,,,False,2,-1,1
2020,Cedar Park,0.0,1332.0,1221.0,-111.0,True,1,0,0
2020,North Central Austin,0.0,2554.0,2235.0,-319.0,True,1,0,0
2020,Cedar Park,0.0,1347.0,1179.0,-168.0,True,0,0,1
2017,Northwest Austin,41.0,1491.0,1344.0,-147.0,True,3,0,1
2015,Near North Austin,0.0,1756.0,1610.0,-146.0,True,2,-1,1
2020,Round Rock/Georgetown,0.0,1384.0,1285.0,-99.0,True,0,0,1
2008,Pflugerville/Wells Branch,0.0,1018.0,922.0,-96.0,True,3,0,1
2019,Southwest Austin,5.0,1478.0,1399.0,-79.0,True,2,-1,1
2009,Far South Austin,6.0,1131.0,1001.0,-130.0,True,1,0,0
2017,San Marcos,36.0,1177.0,1179.0,2.0,False,1,0,0
2015,Pflugerville/Wells Branch,,1103.0,,,False,3,0,1
2012,Far South Austin,44.0,1105.0,1059.0,-46.0,True,2,-1,1
2009,Southeast Austin,15.0,846.0,760.0,-86.0,True,3,1,1
2019,Cedar Park,0.0,1382.0,1276.0,-106.0,True,2,-1,1
2017,Pflugerville/Wells Branch,,1222.0,,,False,3,0,1
2020,Southeast Austin,,1418.0,,,False,2,-1,1
2018,Southwest Austin,1.0,1622.0,1309.0,-313.0,True,2,-1,1
2013,North Central Austin,,1038.0,,,False,1,0,0
2009,Round Rock/Georgetown,0.0,1047.0,765.0,-282.0,True,3,0,1
2008,Southwest Austin,0.0,1417.0,1181.0,-236.0,True,3,0,1
2018,Pflugerville/Wells Branch,0.0,1318.0,1153.0,-165.0,True,3,0,1
2019,Far West Austin,,1471.0,,,False,3,0,1
2015,Southwest Austin,18.0,1407.0,1252.0,-155.0,True,1,-1,0
2019,North Central Austin,0.0,1386.0,1271.0,-115.0,True,3,0,1
2016,Southwest Austin,0.0,1549.0,1420.0,-129.0,True,2,-1,1
2012,Pflugerville/Wells Branch,59.0,1118.0,1138.0,20.0,False,2,-1,1
2017,Northwest Austin,9.0,1354.0,1286.0,-68.0,True,2,-1,1
2017,Southwest Austin,0.0,1554.0,1254.0,-300.0,True,3,0,1
2018,Southeast Austin,4.0,1332.0,1173.0,-159.0,True,3,0,1
2008,East Austin,3.0,1606.0,1472.0,-134.0,True,3,1,1
2019,Riverside,2.0,1773.0,1706.0,-67.0,True,3,0,1
2019,Riverside,0.0,2448.0,2254.0,-194.0,True,0,0,1
2012,San Marcos,39.0,1144.0,1131.0,-13.0,True,3,1,1
2017,Far West Austin,9.0,1481.0,1305.0,-176.0,True,2,-1,1
2020,Southeast Austin,6.0,1697.0,1461.0,-236.0,True,1,0,0
